"election_year","State","Date","Candidate","party","days_till_election","id","value"
"2012","FL",2012-06-25,"Obama","D",134,14187,45
"2012","FL",2012-06-25,"Romney","R",134,14187,41
"2012","FL",2012-07-02,"Obama","D",127,14241,46
"2012","FL",2012-07-02,"Romney","R",127,14241,45
"2012","FL",2012-07-03,"Obama","D",126,14321,48
"2012","FL",2012-07-03,"Romney","R",126,14321,44
"2012","FL",2012-07-09,"Obama","D",120,14288,45
"2012","FL",2012-07-09,"Romney","R",120,14288,46
"2012","FL",2012-07-11,"Obama","D",118,14349,46
"2012","FL",2012-07-11,"Romney","R",118,14349,45
"2012","FL",2012-07-13,"Obama","D",116,14357,45
"2012","FL",2012-07-13,"Romney","R",116,14357,48
"2012","FL",2012-07-19,"Obama","D",110,14406,48
"2012","FL",2012-07-19,"Romney","R",110,14406,43
"2012","FL",2012-07-29,"Obama","D",100,14511,48
"2012","FL",2012-07-29,"Romney","R",100,14511,47
"2012","FL",2012-07-30,"Obama","D",99,14519,51
"2012","FL",2012-07-30,"Romney","R",99,14519,45
"2012","FL",2012-08-14,"Obama","D",84,14667,47
"2012","FL",2012-08-14,"Romney","R",84,14667,48
"2012","FL",2012-08-15,"Obama","D",83,14675,43
"2012","FL",2012-08-15,"Romney","R",83,14675,45
"2012","FL",2012-08-17,"Obama","D",81,14708,40
"2012","FL",2012-08-17,"Romney","R",81,14708,54
"2012","FL",2012-08-20,"Obama","D",78,14737,45
"2012","FL",2012-08-20,"Romney","R",78,14737,48
"2012","FL",2012-08-21,"Obama","D",77,14739,49
"2012","FL",2012-08-21,"Romney","R",77,14739,46
"2012","FL",2012-08-26,"Obama","D",72,14800,50
"2012","FL",2012-08-26,"Romney","R",72,14800,46
"2012","FL",2012-09-02,"Obama","D",65,14868,47.5
"2012","FL",2012-09-02,"Romney","R",65,14868,47.5
"2012","FL",2012-09-09,"Obama","D",58,14979,48
"2012","FL",2012-09-09,"Romney","R",58,14979,44
"2012","FL",2012-09-10,"Obama","D",57,15012,47
"2012","FL",2012-09-10,"Romney","R",57,15012,50
"2012","FL",2012-09-11,"Obama","D",56,15028,45.5
"2012","FL",2012-09-11,"Romney","R",56,15028,43
"2012","FL",2012-09-12,"Obama","D",55,15008,46
"2012","FL",2012-09-12,"Romney","R",55,15008,47
"2012","FL",2012-09-14,"Obama","D",53,15163,49
"2012","FL",2012-09-14,"Romney","R",53,15163,47
"2012","FL",2012-09-16,"Obama","D",51,15096,47
"2012","FL",2012-09-16,"Romney","R",51,15096,48
"2012","FL",2012-09-18,"Obama","D",49,15146,49
"2012","FL",2012-09-18,"Romney","R",49,15146,45
"2012","FL",2012-09-19,"Obama","D",48,15199,47.5
"2012","FL",2012-09-19,"Romney","R",48,15199,47.5
"2012","FL",2012-09-22,"Obama","D",45,15269,50
"2012","FL",2012-09-22,"Romney","R",45,15269,45
"2012","FL",2012-09-23,"Obama","D",44,15253,50.5
"2012","FL",2012-09-23,"Romney","R",44,15253,46.5
"2012","FL",2012-09-24,"Obama","D",43,15313,51
"2012","FL",2012-09-24,"Romney","R",43,15313,45
"2012","FL",2012-09-30,"Obama","D",37,15426,47.5
"2012","FL",2012-09-30,"Romney","R",37,15426,45.5
"2012","FL",2012-10-01,"Obama","D",36,15481,47
"2012","FL",2012-10-01,"Romney","R",36,15481,46
"2012","FL",2012-10-04,"Obama","D",33,15539,46.5
"2012","FL",2012-10-04,"Romney","R",33,15539,49
"2012","FL",2012-10-09,"Obama","D",28,15664,48.5
"2012","FL",2012-10-09,"Romney","R",28,15664,46
"2012","FL",2012-10-10,"Obama","D",27,15720,44
"2012","FL",2012-10-10,"Romney","R",27,15720,51
"2012","FL",2012-10-11,"Obama","D",26,15731,47
"2012","FL",2012-10-11,"Romney","R",26,15731,49
"2012","FL",2012-10-14,"Obama","D",23,15774,48
"2012","FL",2012-10-14,"Romney","R",23,15774,49
"2012","FL",2012-10-18,"Obama","D",19,15966,47
"2012","FL",2012-10-18,"Romney","R",19,15966,47
"2012","FL",2012-10-20,"Obama","D",17,16041,46
"2012","FL",2012-10-20,"Romney","R",17,16041,51
"2012","FL",2012-10-21,"Obama","D",16,16075,47
"2012","FL",2012-10-21,"Romney","R",16,16075,47
"2012","FL",2012-10-24,"Obama","D",13,16138,47.3333333333333
"2012","FL",2012-10-24,"Romney","R",13,16138,48.6666666666667
"2012","FL",2012-10-25,"Obama","D",12,16197,48
"2012","FL",2012-10-25,"Romney","R",12,16197,50
"2012","FL",2012-10-27,"Obama","D",10,16309,48
"2012","FL",2012-10-27,"Romney","R",10,16309,47
"2012","FL",2012-10-28,"Obama","D",9,16256,48.6666666666667
"2012","FL",2012-10-28,"Romney","R",9,16256,48.3333333333333
"2012","FL",2012-10-29,"Obama","D",8,16433,48
"2012","FL",2012-10-29,"Romney","R",8,16433,48.5
"2012","FL",2012-10-30,"Obama","D",7,16378,48
"2012","FL",2012-10-30,"Romney","R",7,16378,49
"2012","FL",2012-11-01,"Obama","D",5,16487,47
"2012","FL",2012-11-01,"Romney","R",5,16487,49
"2012","FL",2012-11-02,"Obama","D",4,16479,47.5
"2012","FL",2012-11-02,"Romney","R",4,16479,45.5
"2012","FL",2012-11-03,"Obama","D",3,16575,48
"2012","FL",2012-11-03,"Romney","R",3,16575,48.5
"2012","FL",2012-11-04,"Obama","D",2,16612,48.5
"2012","FL",2012-11-04,"Romney","R",2,16612,50.5
"2012","FL",2012-11-05,"Obama","D",1,16659,48
"2012","FL",2012-11-05,"Romney","R",1,16659,48.3333333333333
"2012","GA",2011-12-07,"Obama","D",335,12570,42
"2012","GA",2011-12-07,"Romney","R",335,12570,49
"2012","GA",2011-12-14,"Obama","D",328,12569,38
"2012","GA",2011-12-14,"Romney","R",328,12569,55
"2012","GA",2012-02-02,"Obama","D",278,13073,43
"2012","GA",2012-02-02,"Romney","R",278,13073,51
"2012","GA",2012-02-26,"Obama","D",254,13060,42
"2012","GA",2012-02-26,"Romney","R",254,13060,49
"2012","GA",2012-05-10,"Obama","D",180,13782,40
"2012","GA",2012-05-10,"Romney","R",180,13782,51
"2012","GA",2012-05-22,"Obama","D",168,13912,40
"2012","GA",2012-05-22,"Romney","R",168,13912,52
"2012","GA",2012-08-18,"Obama","D",80,14730,46
"2012","GA",2012-08-18,"Romney","R",80,14730,49
"2012","GA",2012-09-14,"Obama","D",53,15224,44
"2012","GA",2012-09-14,"Romney","R",53,15224,51
"2012","GA",2012-09-18,"Obama","D",49,15184,35
"2012","GA",2012-09-18,"Romney","R",49,15184,56
"2012","GA",2012-10-11,"Obama","D",26,15770,43.5
"2012","GA",2012-10-11,"Romney","R",26,15770,51.5
"2012","GA",2012-10-28,"Obama","D",9,16316,44
"2012","GA",2012-10-28,"Romney","R",9,16316,52
"2012","GA",2012-10-31,"Obama","D",6,16444,46
"2012","GA",2012-10-31,"Romney","R",6,16444,52
"2012","GA",2012-11-03,"Obama","D",3,16589,44
"2012","GA",2012-11-03,"Romney","R",3,16589,52
"2012","HI",2011-10-16,"Obama","D",387,12582,59
"2012","HI",2011-10-16,"Romney","R",387,12582,32
"2012","HI",2012-09-28,"Obama","D",39,15516,62
"2012","HI",2012-09-28,"Romney","R",39,15516,30
"2012","HI",2012-10-26,"Obama","D",11,16453,61
"2012","HI",2012-10-26,"Romney","R",11,16453,34
"2012","IA",2011-10-05,"Obama","D",398,12529,43
"2012","IA",2011-10-05,"Romney","R",398,12529,40
"2012","IA",2011-10-10,"Obama","D",393,11955,46
"2012","IA",2011-10-10,"Romney","R",393,11955,42
"2012","IA",2011-11-29,"Obama","D",343,12528,46
"2012","IA",2011-11-29,"Romney","R",343,12528,39
"2012","IA",2011-12-07,"Obama","D",335,12260,42
"2012","IA",2011-12-07,"Romney","R",335,12260,43
"2012","IA",2012-02-15,"Obama","D",265,13140,44
"2012","IA",2012-02-15,"Romney","R",265,13140,46
"2012","IA",2012-05-06,"Obama","D",184,13712,51
"2012","IA",2012-05-06,"Romney","R",184,13712,41
"2012","IA",2012-05-24,"Obama","D",166,13959,44
"2012","IA",2012-05-24,"Romney","R",166,13959,44
"2012","IA",2012-06-11,"Obama","D",148,14074,46
"2012","IA",2012-06-11,"Romney","R",148,14074,47
"2012","IA",2012-06-18,"Obama","D",141,14130,45
"2012","IA",2012-06-18,"Romney","R",141,14130,44
"2012","IA",2012-07-15,"Obama","D",114,14368,48
"2012","IA",2012-07-15,"Romney","R",114,14368,43
"2012","IA",2012-08-08,"Obama","D",90,14616,44
"2012","IA",2012-08-08,"Romney","R",90,14616,46
"2012","IA",2012-08-26,"Obama","D",72,14816,47
"2012","IA",2012-08-26,"Romney","R",72,14816,45
"2012","IA",2012-09-14,"Obama","D",53,15156,48
"2012","IA",2012-09-14,"Romney","R",53,15156,43
"2012","IA",2012-09-18,"Obama","D",49,15190,50
"2012","IA",2012-09-18,"Romney","R",49,15190,42
"2012","IA",2012-09-19,"Obama","D",48,15176,44
"2012","IA",2012-09-19,"Romney","R",48,15176,47
"2012","IA",2012-09-23,"Obama","D",44,15274,51
"2012","IA",2012-09-23,"Romney","R",44,15274,44
"2012","IA",2012-09-25,"Obama","D",42,15380,46
"2012","IA",2012-09-25,"Romney","R",42,15380,47
"2012","IA",2012-09-26,"Obama","D",41,15338,50
"2012","IA",2012-09-26,"Romney","R",41,15338,44.5
"2012","IA",2012-09-27,"Obama","D",40,15422,48
"2012","IA",2012-09-27,"Romney","R",40,15422,44
"2012","IA",2012-10-07,"Obama","D",30,15582,49
"2012","IA",2012-10-07,"Romney","R",30,15582,47
"2012","IA",2012-10-11,"Obama","D",26,15848,50
"2012","IA",2012-10-11,"Romney","R",26,15848,46
"2012","IA",2012-10-14,"Obama","D",23,15783,48
"2012","IA",2012-10-14,"Romney","R",23,15783,48
"2012","IA",2012-10-15,"Obama","D",22,15822,49
"2012","IA",2012-10-15,"Romney","R",22,15822,46
"2012","IA",2012-10-17,"Obama","D",20,15939,51
"2012","IA",2012-10-17,"Romney","R",20,15939,43
"2012","IA",2012-10-19,"Obama","D",18,15963,48.5
"2012","IA",2012-10-19,"Romney","R",18,15963,48.5
"2012","IA",2012-10-21,"Obama","D",16,16028,48
"2012","IA",2012-10-21,"Romney","R",16,16028,48
"2012","IA",2012-10-24,"Obama","D",13,16158,49.5
"2012","IA",2012-10-24,"Romney","R",13,16158,46.5
"2012","IA",2012-10-27,"Obama","D",10,16414,44
